2018-12-06 22:22:57 INFO  SpringBootWebApplication:70 - Logger enabled: Entering main 
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.IndexPageController.getRequest(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/institutions],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.InstitutionsController.getRequestInstitutions(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/institutions/add],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.InstitutionsController.getRequestAddInstitution(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/institutions/add],methods=[POST]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.InstitutionsController.postRequestAddInstitution(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/institutions/{institutionId}/edit],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.InstitutionsController.getRequestEditInstitution(java.util.Map<java.lang.String, java.lang.Object>,java.lang.String)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/institutions/{institutionId}/edit],methods=[POST]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.InstitutionsController.postRequestEditInstitution(java.util.Map<java.lang.String, java.lang.Object>,java.lang.String)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/institutions/{institutionId}/delete],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.InstitutionsController.getRequestDeleteInstitution(java.util.Map<java.lang.String, java.lang.Object>,java.lang.String)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/login],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.LoginRegisterController.getRequestLogin(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/login],methods=[POST]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.LoginRegisterController.postRequestLogin(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/register],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.LoginRegisterController.getRequestRegister(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/register],methods=[POST]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.LoginRegisterController.postRequestRegister(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/citizens/{citizenId}/medrec/{idMedRec}/view],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.MedicalRecordController.getRequestMedicalRecord(java.util.Map<java.lang.String, java.lang.Object>,java.lang.String,java.lang.String)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/citizens/{citizenId}/medrec/create],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.MedicalRecordController.getRequestCreateMedicalRecord(java.util.Map<java.lang.String, java.lang.Object>,java.lang.String)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/citizens/{citizenId}/medrec/create],methods=[POST]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.MedicalRecordController.postRequestCreateMedicalRecord(java.util.Map<java.lang.String, java.lang.Object>,java.lang.String)
2018-12-06 22:23:01 INFO  RequestMappingHandlerMapping:543 - Mapped "{[/patients],methods=[GET]}" onto public java.lang.String pt.ulisboa.tecnico.sirs.controllers.PatientsController.getRequestAppointments(java.util.Map<java.lang.String, java.lang.Object>)
2018-12-06 22:23:01 INFO  SimpleUrlHandlerMapping:362 - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-06 22:23:01 INFO  SimpleUrlHandlerMapping:362 - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-06 22:23:01 INFO  SimpleUrlHandlerMapping:362 - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-12-06 22:23:01 INFO  AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-12-06 22:23:03 INFO  TomcatEmbeddedServletContainer:216 - Tomcat started on port(s): 8443 (https) 8080 (http)
2018-12-06 22:23:03 INFO  SpringBootWebApplication:57 - Started SpringBootWebApplication in 5.095 seconds (JVM running for 10.059)
2018-12-06 22:23:03 INFO  SpringBootWebApplication:72 - Exiting main
2018-12-06 22:23:08 INFO  DispatcherServlet:489 - FrameworkServlet 'dispatcherServlet': initialization started
2018-12-06 22:23:08 INFO  DispatcherServlet:508 - FrameworkServlet 'dispatcherServlet': initialization completed in 35 ms
2018-12-06 22:23:09 INFO  IndexPageController:23 - Entering getRequest function
2018-12-06 22:23:09 INFO  IndexPageController:24 - org.springframework.context.annotation.internalConfigurationAnnotationProcessor
2018-12-06 22:23:09 INFO  IndexPageController:25 - RMI invoker proxy for service URL [rmi://localhost:1099/MedicalRecordsService]
